Area Code,Area Name,year,obesity_prevalence,physical_inactivity,smoking_prevalence,diet_5_a_day_pct
E06000001,Hartlepool,2020,34.63238,36.69158,16.8,32.01157
E06000002,Middlesbrough,2020,31.953,31.64044,14.9,26.55877
E06000003,Redcar and Cleveland,2020,33.37358,28.02346,15.9,33.99259
E06000004,Stockton-on-Tees,2020,40.21633,23.13913,12.2,35.01736
E06000005,Darlington,2020,35.6823,27.57983,12.8,32.52256
E06000006,Halton,2020,32.25929,23.5188,12.3,26.91443
E06000007,Warrington,2020,26.06202,22.54381,9.3,29.02836
E06000008,Blackburn with Darwen,2020,26.26688,32.27804,15.9,24.78136
E06000009,Blackpool,2020,37.21893,32.80011,21.8,29.10528
E06000010,Kingston upon Hull,2020,35.26281,32.43728,19.4,23.95624
E06000011,East Riding of Yorkshire,2020,28.29753,24.5791,9.9,36.54782
E06000012,North East Lincolnshire,2020,36.12345,26.16708,17.4,28.6447
E06000013,North Lincolnshire,2020,29.62428,31.75025,12.8,34.95116
E06000014,York,2020,24.8132,21.21388,10.9,37.5641
E06000015,Derby,2020,27.96526,27.63152,12.9,27.30967
E06000016,Leicester,2020,26.9483,33.20382,14.3,24.93988
E06000017,Rutland,2020,17.18426,18.05405,9.6,47.14004
E06000018,Nottingham,2020,28.32765,24.10111,15.4,31.97641
E06000019,Herefordshire,2020,30.89721,19.48045,12.0,39.49844
E06000020,Telford and Wrekin,2020,31.88066,26.51688,14.7,25.62982
E06000021,Stoke-on-Trent,2020,31.22251,32.35897,16.2,23.3257
E06000022,Bath and North East Somerset,2020,18.2132,18.45577,10.5,46.39985
E06000023,Bristol,2020,20.5706,18.13889,16.8,38.66897
E06000024,North Somerset,2020,25.6328,19.23569,11.2,40.59725
E06000025,South Gloucestershire,2020,25.71212,23.6732,9.3,34.57211
E06000026,Plymouth,2020,28.97397,24.79121,17.7,40.10098
E06000027,Torbay,2020,28.14731,25.4282,13.0,33.84727
E06000030,Swindon,2020,28.33815,21.10574,12.7,29.66443
E06000031,Peterborough,2020,22.48258,29.38038,14.4,30.46456
E06000032,Luton,2020,28.70349,33.48628,15.8,27.30196
E06000033,Southend-on-Sea,2020,28.45329,23.47779,12.4,36.13549
E06000034,Thurrock,2020,34.50352,25.9727,13.0,29.45069
E06000035,Medway,2020,30.25322,23.7638,13.6,29.83205
E06000036,Bracknell Forest,2020,22.85716,22.77348,10.4,30.56152
E06000037,West Berkshire,2020,25.51841,21.12101,10.4,36.64118
E06000038,Reading,2020,23.13761,18.31468,13.0,33.84487
E06000039,Slough,2020,28.57945,38.0612,15.2,27.80815
E06000040,Windsor and Maidenhead,2020,24.63737,20.51452,10.5,34.49087
E06000041,Wokingham,2020,25.17152,19.65988,6.8,41.78855
E06000042,Milton Keynes,2020,29.09706,21.67761,13.5,32.62542
E06000043,Brighton and Hove,2020,19.50817,21.65899,16.1,43.03529
E06000044,Portsmouth,2020,29.43571,22.94775,15.4,33.12217
E06000045,Southampton,2020,25.10867,24.68206,13.4,29.99789
E06000046,Isle of Wight,2020,22.91574,19.52063,12.8,49.51973
E06000047,County Durham,2020,33.98944,26.70157,15.6,31.98756
E06000049,Cheshire East,2020,18.29615,19.44984,10.1,37.3137
E06000050,Cheshire West and Chester,2020,23.67319,17.67558,12.5,40.65891
E06000051,Shropshire,2020,25.22301,18.7312,10.0,41.40908
E06000052,Cornwall,2020,24.95695,18.00815,11.9,42.20519
E06000054,Wiltshire,2020,22.45748,20.51941,12.9,38.71683
E06000055,Bedford,2020,28.71577,22.41218,15.5,33.81923
E06000056,Central Bedfordshire,2020,26.90825,21.32502,13.8,39.47736
E06000057,Northumberland,2020,32.9155,21.37116,12.7,39.91348
E06000058,"Bournemouth, Christchurch and Poole",2020,23.15048,20.51876,10.2,37.71934
E06000059,Dorset,2020,18.6363,20.18908,10.2,43.60297
E08000001,Bolton,2020,27.57808,31.85213,15.5,26.11838
E08000002,Bury,2020,25.49371,22.09456,11.0,28.93929
E08000003,Manchester,2020,26.18925,24.58352,19.8,29.20265
E08000004,Oldham,2020,32.41568,29.91021,13.8,27.67467
E08000005,Rochdale,2020,29.98942,32.6156,16.6,27.25709
E08000006,Salford,2020,30.17987,30.94312,13.8,27.50187
E08000007,Stockport,2020,25.79383,22.24763,13.6,29.31112
E08000008,Tameside,2020,30.00026,28.34709,17.1,26.26846
E08000009,Trafford,2020,23.80157,22.172,9.2,35.49536
E08000010,Wigan,2020,31.86185,24.89442,16.0,26.2595
E08000011,Knowsley,2020,40.041,34.99744,13.9,27.78408
E08000012,Liverpool,2020,29.01839,26.91674,17.2,27.70954
E08000013,St. Helens,2020,34.89146,24.20044,12.2,32.92203
E08000014,Sefton,2020,23.09356,24.19136,7.2,34.46014
E08000015,Wirral,2020,27.07363,23.38935,12.5,35.22548
E08000016,Barnsley,2020,33.15588,25.73075,15.0,35.18349
E08000017,Doncaster,2020,34.86251,28.92038,18.1,30.10781
E08000018,Rotherham,2020,29.93981,25.2414,14.2,28.26842
E08000019,Sheffield,2020,25.35946,21.89685,11.1,36.07643
E08000021,Newcastle upon Tyne,2020,29.24134,24.61264,14.3,33.07661
E08000022,North Tyneside,2020,31.07198,21.23104,14.4,36.30517
E08000023,South Tyneside,2020,33.35486,27.52313,16.8,34.27731
E08000024,Sunderland,2020,29.87052,25.99026,17.1,25.88005
E08000025,Birmingham,2020,26.86613,28.75066,18.2,26.52331
E08000026,Coventry,2020,25.85033,29.10507,16.2,26.13185
E08000027,Dudley,2020,28.82238,29.61053,13.4,30.63829
E08000028,Sandwell,2020,34.79069,31.13242,13.4,24.73398
E08000029,Solihull,2020,21.59658,24.28434,10.9,30.70647
E08000030,Walsall,2020,32.74779,33.56616,14.1,27.79086
E08000031,Wolverhampton,2020,30.2409,28.03013,10.7,28.64288
E08000032,Bradford,2020,27.61665,29.22145,15.0,32.30669
E08000033,Calderdale,2020,24.52922,24.5075,13.8,36.46672
E08000034,Kirklees,2020,27.44372,26.56752,13.5,28.30075
E08000035,Leeds,2020,23.77812,18.57348,13.5,35.08578
E08000036,Wakefield,2020,34.8831,23.15994,19.1,34.18232
E08000037,Gateshead,2020,29.70279,24.68403,14.0,28.35236
E09000002,Barking and Dagenham,2020,28.64326,35.75546,15.4,24.658
E09000003,Barnet,2020,21.29801,23.67708,8.3,38.47761
E09000004,Bexley,2020,29.4623,25.54775,12.9,31.90259
E09000005,Brent,2020,20.95232,31.69388,10.2,23.61033
E09000006,Bromley,2020,20.89744,20.00319,10.4,39.7743
E09000007,Camden,2020,14.2441,21.53624,8.5,38.67743
E09000008,Croydon,2020,27.15669,24.06707,9.2,25.48629
E09000009,Ealing,2020,17.27762,28.18747,10.4,30.70218
E09000010,Enfield,2020,26.11788,25.69656,12.4,34.11965
E09000011,Greenwich,2020,20.21199,25.71864,13.9,35.27408
E09000012,Hackney,2020,16.56563,23.59615,11.2,38.19158
E09000013,Hammersmith and Fulham,2020,12.2666,17.33506,11.6,38.67941
E09000014,Haringey,2020,15.6573,24.39767,13.4,34.66716
E09000015,Harrow,2020,17.52552,27.29252,7.9,31.62834
E09000016,Havering,2020,31.84711,27.08576,11.2,28.43634
E09000017,Hillingdon,2020,19.28046,32.32504,10.3,27.01155
E09000018,Hounslow,2020,18.10099,28.68078,12.1,33.90873
E09000019,Islington,2020,12.66097,17.0637,19.2,35.52316
E09000020,Kensington and Chelsea,2020,10.75465,22.34406,11.1,40.18408
E09000021,Kingston upon Thames,2020,16.13268,21.87576,8.4,34.6596
E09000022,Lambeth,2020,19.06598,17.16358,11.9,44.45583
E09000023,Lewisham,2020,18.65387,17.19378,10.4,42.12375
E09000024,Merton,2020,17.26271,20.16212,11.7,33.79987
E09000025,Newham,2020,24.90372,30.56295,14.8,22.15433
E09000026,Redbridge,2020,22.64189,31.77533,11.9,29.22341
E09000027,Richmond upon Thames,2020,10.87644,17.63387,5.5,45.73105
E09000028,Southwark,2020,19.49958,20.66745,15.1,34.01592
E09000029,Sutton,2020,24.12729,28.64442,10.8,36.31832
E09000030,Tower Hamlets,2020,14.62763,27.51911,13.3,31.62641
E09000031,Waltham Forest,2020,21.41757,25.01816,12.9,31.25648
E09000032,Wandsworth,2020,14.66177,16.3367,9.7,39.98097
E09000033,Westminster,2020,10.2432,21.37248,15.5,36.04907
E10000003,Cambridgeshire,2020,21.41376,19.82685,15.3,40.4344
E10000007,Derbyshire,2020,28.56273,21.45922,13.1,35.48117
E10000008,Devon,2020,24.52294,18.51979,9.6,41.43396
E10000011,East Sussex,2020,26.35553,19.91211,12.0,42.8534
E10000012,Essex,2020,27.52429,23.93261,13.0,35.86576
E10000013,Gloucestershire,2020,24.78421,19.00363,12.8,39.96525
E10000014,Hampshire,2020,23.66225,19.48179,8.9,38.24907
E10000015,Hertfordshire,2020,22.14918,22.05865,10.8,36.33244
E10000016,Kent,2020,25.98856,22.03923,13.3,35.39904
E10000017,Lancashire,2020,28.9868,24.35152,13.6,32.24912
E10000018,Leicestershire,2020,26.33353,21.90904,10.4,35.89185
E10000019,Lincolnshire,2020,31.26181,26.46212,13.1,35.86994
E10000020,Norfolk,2020,24.42729,22.43222,13.6,37.45867
E10000024,Nottinghamshire,2020,26.7532,22.73335,12.6,35.70295
E10000025,Oxfordshire,2020,20.94451,17.77182,12.1,39.4683
E10000028,Staffordshire,2020,29.3433,22.53112,13.1,34.58432
E10000029,Suffolk,2020,23.83513,23.81217,13.3,40.22049
E10000030,Surrey,2020,19.18607,17.0552,9.6,39.20459
E10000031,Warwickshire,2020,25.76313,21.10609,12.5,36.28303
E10000032,West Sussex,2020,23.19427,19.98345,12.4,40.54392
E10000034,Worcestershire,2020,25.70086,21.493,10.9,37.47652
E06000001,Hartlepool,2021,35.35587,28.62339,16.4,24.76825
E06000002,Middlesbrough,2021,35.29352,30.277,16.6,28.8998
E06000003,Redcar and Cleveland,2021,34.80189,25.20992,12.3,30.96601
E06000004,Stockton-on-Tees,2021,32.84926,25.11152,11.6,27.54218
E06000005,Darlington,2021,29.99722,24.24001,9.8,28.04092
E06000006,Halton,2021,35.98169,23.69994,12.3,23.71617
E06000007,Warrington,2021,29.54306,21.05624,9.2,28.49409
E06000008,Blackburn with Darwen,2021,22.97324,37.62243,14.4,24.33442
E06000009,Blackpool,2021,35.62741,32.23753,19.3,29.93401
E06000010,Kingston upon Hull,2021,39.37604,30.73483,20.6,26.86044
E06000011,East Riding of Yorkshire,2021,27.77749,21.50569,9.4,37.9122
E06000012,North East Lincolnshire,2021,34.66712,27.39877,15.2,30.03121
E06000013,North Lincolnshire,2021,37.0517,30.06662,11.1,27.19567
E06000014,York,2021,18.5574,15.37296,8.6,35.25572
E06000015,Derby,2021,25.41779,26.13424,12.2,29.05169
E06000016,Leicester,2021,24.48076,32.50221,11.7,27.02938
E06000017,Rutland,2021,20.24934,20.80961,11.9,39.48224
E06000018,Nottingham,2021,30.32567,23.25992,15.3,25.63004
E06000019,Herefordshire,2021,29.32307,20.06821,11.1,40.68976
E06000020,Telford and Wrekin,2021,32.43691,26.79583,12.9,26.13603
E06000021,Stoke-on-Trent,2021,33.98047,27.46633,15.3,23.61856
E06000022,Bath and North East Somerset,2021,21.6834,13.65593,9.0,37.91211
E06000023,Bristol,2021,24.82034,17.00681,15.2,36.55486
E06000024,North Somerset,2021,22.98933,15.27543,11.8,34.18473
E06000025,South Gloucestershire,2021,21.91625,19.86592,11.3,33.99567
E06000026,Plymouth,2021,33.55532,23.57619,14.3,35.91788
E06000027,Torbay,2021,30.47454,20.49861,14.5,37.31179
E06000030,Swindon,2021,29.6691,23.3956,11.5,28.31704
E06000031,Peterborough,2021,32.15236,30.18207,13.2,30.62078
E06000032,Luton,2021,27.30573,32.06672,13.1,24.5818
E06000033,Southend-on-Sea,2021,33.47711,24.22282,12.0,39.41422
E06000034,Thurrock,2021,28.18842,25.45659,11.8,22.41384
E06000035,Medway,2021,37.19724,20.87201,13.4,24.87326
E06000036,Bracknell Forest,2021,24.98433,19.06546,10.1,29.40389
E06000037,West Berkshire,2021,24.51517,16.8295,12.5,33.89751
E06000038,Reading,2021,33.48682,22.34095,14.7,30.8047
E06000039,Slough,2021,23.84362,33.71784,14.0,24.78444
E06000040,Windsor and Maidenhead,2021,18.92948,14.90047,11.0,34.44591
E06000041,Wokingham,2021,22.3878,17.38207,6.2,33.61816
E06000042,Milton Keynes,2021,25.80772,21.70911,13.6,27.91049
E06000043,Brighton and Hove,2021,19.12,18.27576,12.9,37.85627
E06000044,Portsmouth,2021,26.47421,22.42713,12.6,36.27213
E06000045,Southampton,2021,24.90351,22.55395,11.7,28.75698
E06000046,Isle of Wight,2021,21.49244,21.07863,12.1,38.8242
E06000047,County Durham,2021,34.20071,23.55633,15.2,34.12386
E06000049,Cheshire East,2021,21.09539,20.72257,12.6,35.40113
E06000050,Cheshire West and Chester,2021,27.47997,22.09854,8.2,33.33485
E06000051,Shropshire,2021,31.9629,19.90781,12.0,36.743
E06000052,Cornwall,2021,26.65514,19.48731,10.7,39.51991
E06000054,Wiltshire,2021,28.78396,18.46909,10.8,35.30078
E06000055,Bedford,2021,24.02529,22.61945,9.2,30.95897
E06000056,Central Bedfordshire,2021,30.36404,21.75303,10.7,33.5771
E06000057,Northumberland,2021,26.09745,22.63398,10.8,34.67542
E06000058,"Bournemouth, Christchurch and Poole",2021,27.9259,22.15314,10.6,34.39422
E06000059,Dorset,2021,23.96358,16.26001,8.8,36.91264
E06000060,Buckinghamshire UA,2021,20.51092,16.08193,9.8,31.82869
E08000001,Bolton,2021,27.06778,27.48598,17.1,24.32418
E08000002,Bury,2021,24.84527,21.98724,10.5,29.76949
E08000003,Manchester,2021,25.35505,26.3444,15.6,27.65734
E08000004,Oldham,2021,31.85832,25.6597,18.0,24.20357
E08000005,Rochdale,2021,31.61462,29.94718,14.6,26.4524
E08000006,Salford,2021,28.41983,26.6555,13.0,24.25828
E08000007,Stockport,2021,23.27729,21.60875,11.8,27.25189
E08000008,Tameside,2021,31.82772,29.54958,18.0,26.01222
E08000009,Trafford,2021,22.16184,20.06815,10.2,29.75254
E08000010,Wigan,2021,29.42274,24.2383,12.9,26.95676
E08000011,Knowsley,2021,33.15707,25.24479,15.0,22.01416
E08000012,Liverpool,2021,28.02555,24.76723,16.5,26.31661
E08000013,St. Helens,2021,32.13196,26.77754,9.8,28.61266
E08000014,Sefton,2021,28.52963,24.46877,9.3,32.82071
E08000015,Wirral,2021,29.1906,22.76662,10.8,34.81322
E08000016,Barnsley,2021,38.31467,25.97937,15.7,30.74144
E08000017,Doncaster,2021,36.41315,28.46866,18.3,29.07366
E08000018,Rotherham,2021,32.06783,24.40972,15.8,27.52059
E08000019,Sheffield,2021,25.33827,18.97971,12.4,30.54154
E08000021,Newcastle upon Tyne,2021,24.66129,22.4186,14.5,32.11394
E08000022,North Tyneside,2021,35.83059,26.78309,14.2,28.66475
E08000023,South Tyneside,2021,37.82553,28.12135,15.2,34.60787
E08000024,Sunderland,2021,35.35909,24.49144,14.1,26.44344
E08000025,Birmingham,2021,27.71623,29.44806,15.0,23.90421
E08000026,Coventry,2021,25.70126,28.08695,12.7,27.31404
E08000027,Dudley,2021,34.86168,28.34751,12.6,27.2818
E08000028,Sandwell,2021,34.31303,30.95961,16.8,20.67296
E08000029,Solihull,2021,24.71767,24.2712,10.1,29.97002
E08000030,Walsall,2021,32.72845,30.93986,13.0,22.26881
E08000031,Wolverhampton,2021,33.24885,30.46501,12.6,24.772
E08000032,Bradford,2021,30.05946,31.18063,14.2,25.29744
E08000033,Calderdale,2021,24.29045,22.51413,13.8,31.29638
E08000034,Kirklees,2021,22.46636,21.57156,12.7,31.64398
E08000035,Leeds,2021,27.26572,21.47916,11.2,29.27703
E08000036,Wakefield,2021,33.30196,27.67845,14.7,23.81962
E08000037,Gateshead,2021,32.69671,27.44247,13.1,25.32837
E09000002,Barking and Dagenham,2021,30.3836,34.99793,10.6,23.99112
E09000003,Barnet,2021,15.93438,22.13132,9.7,32.08311
E09000004,Bexley,2021,28.0034,24.45664,11.9,22.56245
E09000005,Brent,2021,19.42687,27.67949,7.4,29.15315
E09000006,Bromley,2021,19.89506,18.91083,8.2,34.26951
E09000007,Camden,2021,17.97042,17.81243,6.0,35.80963
E09000008,Croydon,2021,26.35393,25.00974,12.3,31.43149
E09000009,Ealing,2021,20.23813,21.31919,9.6,29.80252
E09000010,Enfield,2021,21.18791,28.71902,17.2,27.97804
E09000011,Greenwich,2021,21.01845,26.30143,10.5,29.67258
E09000012,Hackney,2021,20.19152,18.01154,13.0,32.7139
E09000013,Hammersmith and Fulham,2021,16.79354,19.49913,10.2,31.56979
E09000014,Haringey,2021,16.98449,19.55594,8.8,36.69513
E09000015,Harrow,2021,16.91138,28.01135,6.9,25.66239
E09000016,Havering,2021,24.90813,27.85304,9.5,31.04023
E09000017,Hillingdon,2021,22.67664,26.25423,10.3,27.39105
E09000018,Hounslow,2021,23.43276,31.32067,10.7,24.41122
E09000019,Islington,2021,17.28145,17.11927,10.5,42.99348
E09000020,Kensington and Chelsea,2021,11.57992,23.446,13.3,40.59644
E09000021,Kingston upon Thames,2021,18.48117,14.96479,9.5,35.0017
E09000022,Lambeth,2021,14.23595,21.48183,11.4,36.88078
E09000023,Lewisham,2021,19.69509,15.50594,11.0,38.64457
E09000024,Merton,2021,19.98401,24.23284,11.8,32.96765
E09000025,Newham,2021,20.72181,25.6953,13.2,25.88868
E09000026,Redbridge,2021,24.14654,25.58297,10.7,28.07214
E09000027,Richmond upon Thames,2021,15.03951,18.26826,7.4,38.64
E09000028,Southwark,2021,15.42123,22.28076,10.9,30.67624
E09000029,Sutton,2021,21.35611,26.93623,11.3,27.65823
E09000030,Tower Hamlets,2021,18.20726,20.49921,10.9,25.06632
E09000031,Waltham Forest,2021,21.59116,25.04329,8.3,30.47012
E09000032,Wandsworth,2021,14.36877,15.7861,12.3,38.11423
E09000033,Westminster,2021,16.33908,20.86678,11.1,32.92122
E10000003,Cambridgeshire,2021,24.9619,19.27375,12.3,36.33849
E10000007,Derbyshire,2021,30.30402,20.62779,13.1,33.45398
E10000008,Devon,2021,24.17702,16.82298,10.7,42.29728
E10000011,East Sussex,2021,24.61769,18.47893,14.3,37.1779
E10000012,Essex,2021,27.47003,21.56267,11.5,34.70898
E10000013,Gloucestershire,2021,25.72158,18.78921,12.2,37.69382
E10000014,Hampshire,2021,25.88826,17.73108,10.0,36.71042
E10000015,Hertfordshire,2021,22.38658,18.57313,10.6,34.31605
E10000016,Kent,2021,27.32926,20.63105,12.5,34.94717
E10000017,Lancashire,2021,26.70979,22.54211,13.6,31.00487
E10000018,Leicestershire,2021,25.6041,21.35864,10.4,33.19243
E10000019,Lincolnshire,2021,31.36239,23.74188,12.4,35.92363
E10000020,Norfolk,2021,26.59843,21.6466,14.6,36.97884
E10000024,Nottinghamshire,2021,26.62509,21.02362,12.4,33.19806
E10000025,Oxfordshire,2021,21.19018,16.65849,9.4,39.65142
E10000028,Staffordshire,2021,29.01239,21.68081,9.2,29.94957
E10000029,Suffolk,2021,27.57576,20.19251,12.3,37.59716
E10000030,Surrey,2021,20.28257,15.92956,7.2,36.9326
E10000031,Warwickshire,2021,25.99205,22.43362,13.1,36.04597
E10000032,West Sussex,2021,23.1004,19.74802,11.4,36.47241
E10000034,Worcestershire,2021,26.69364,21.0766,13.3,34.4538
E06000001,Hartlepool,2022,33.80489,31.32762,13.0,24.7707
