Area Code,Area Name,year,obesity_prevalence,physical_inactivity,smoking_prevalence,diet_5_a_day_pct
E06000002,Middlesbrough,2022,34.67974,32.70905,15.1,22.15748
E06000003,Redcar and Cleveland,2022,31.17215,26.43987,12.4,21.31859
E06000004,Stockton-on-Tees,2022,34.08819,27.86367,12.0,26.43736
E06000005,Darlington,2022,30.51878,23.41086,10.5,27.01131
E06000006,Halton,2022,34.52867,22.86117,12.1,20.24009
E06000007,Warrington,2022,25.20197,21.63554,9.0,30.17691
E06000008,Blackburn with Darwen,2022,30.97757,30.09855,17.7,22.13285
E06000009,Blackpool,2022,33.20581,31.43108,17.2,23.03905
E06000010,Kingston upon Hull,2022,36.46152,30.05683,17.3,27.5252
E06000011,East Riding of Yorkshire,2022,27.74105,22.64624,9.3,35.73369
E06000012,North East Lincolnshire,2022,29.99957,30.11434,20.0,27.4411
E06000013,North Lincolnshire,2022,35.80057,23.28467,14.0,27.75662
E06000014,York,2022,23.54297,16.32616,7.9,32.5737
E06000015,Derby,2022,34.61231,28.48787,17.7,25.07037
E06000016,Leicester,2022,24.91376,27.81411,11.9,21.43485
E06000017,Rutland,2022,20.21155,13.67816,8.6,42.87359
E06000018,Nottingham,2022,27.96719,21.617,19.5,24.38603
E06000019,Herefordshire,2022,26.11057,20.91299,11.1,39.12041
E06000020,Telford and Wrekin,2022,28.39653,24.02626,15.2,31.6005
E06000021,Stoke-on-Trent,2022,38.66075,29.9512,14.9,22.19744
E06000022,Bath and North East Somerset,2022,20.80555,13.55213,10.5,34.86584
E06000023,Bristol,2022,22.34376,16.03239,13.5,36.41653
E06000024,North Somerset,2022,27.89375,19.02222,9.4,35.54627
E06000025,South Gloucestershire,2022,23.09813,21.56898,11.0,31.81944
E06000026,Plymouth,2022,25.95921,18.38852,13.4,27.86601
E06000027,Torbay,2022,32.56526,24.12021,16.8,34.57527
E06000030,Swindon,2022,30.1373,26.31408,8.6,28.16416
E06000031,Peterborough,2022,26.4639,28.02769,11.1,29.05417
E06000032,Luton,2022,23.21268,30.48711,19.3,24.99112
E06000033,Southend-on-Sea,2022,31.40949,28.51133,12.8,29.74065
E06000034,Thurrock,2022,26.26126,31.43489,15.2,23.80357
E06000035,Medway,2022,30.20217,25.13298,8.1,28.50999
E06000036,Bracknell Forest,2022,27.26192,17.2456,13.3,29.30127
E06000037,West Berkshire,2022,26.79337,20.70619,10.3,35.30301
E06000038,Reading,2022,28.20657,21.67091,13.2,29.75156
E06000039,Slough,2022,26.19329,30.72442,13.9,18.91123
E06000040,Windsor and Maidenhead,2022,23.25793,22.7577,7.8,36.40158
E06000041,Wokingham,2022,18.96626,17.90493,4.1,33.24164
E06000042,Milton Keynes,2022,25.89105,18.71114,12.6,26.01852
E06000043,Brighton and Hove,2022,15.10402,10.90547,11.6,36.1949
E06000044,Portsmouth,2022,30.75013,17.71616,13.4,22.2734
E06000045,Southampton,2022,29.45037,21.73778,12.0,24.69026
E06000046,Isle of Wight,2022,21.86223,23.31171,8.6,35.52417
E06000047,County Durham,2022,34.01254,28.40308,14.0,32.43358
E06000049,Cheshire East,2022,21.46203,20.41165,8.5,31.88874
E06000050,Cheshire West and Chester,2022,30.16707,19.04034,8.1,31.60639
E06000051,Shropshire,2022,28.61979,19.0728,9.1,37.69784
E06000052,Cornwall,2022,27.54592,22.697,9.4,41.94426
E06000054,Wiltshire,2022,26.66178,16.00191,9.2,32.35982
E06000055,Bedford,2022,22.33433,13.81535,10.7,34.59434
E06000056,Central Bedfordshire,2022,24.73008,20.11844,13.7,31.34187
E06000057,Northumberland,2022,28.80884,20.98539,8.7,38.36095
E06000058,"Bournemouth, Christchurch and Poole",2022,26.77934,19.05041,9.1,36.0994
E06000059,Dorset,2022,28.9252,20.70921,8.3,34.38071
E06000060,Buckinghamshire UA,2022,23.65486,19.26486,9.6,28.72851
E06000061,North Northamptonshire,2022,29.21563,26.03391,13.3,26.4538
E06000062,West Northamptonshire,2022,27.03023,24.28731,10.9,31.46776
E08000001,Bolton,2022,28.08892,26.70451,12.9,23.65933
E08000002,Bury,2022,30.03106,24.57813,10.6,27.5578
E08000003,Manchester,2022,27.28058,24.49847,15.9,22.20047
E08000004,Oldham,2022,32.71987,32.24064,9.9,24.15352
E08000005,Rochdale,2022,34.86453,32.65984,13.9,23.40317
E08000006,Salford,2022,28.60808,21.82483,13.7,24.1377
E08000007,Stockport,2022,25.27521,22.02312,10.7,29.55097
E08000008,Tameside,2022,34.59192,28.22871,18.5,23.18321
E08000009,Trafford,2022,22.80824,21.10595,7.2,31.09462
E08000010,Wigan,2022,39.11172,23.78338,13.4,23.89866
E08000011,Knowsley,2022,35.61068,28.613,13.4,24.52895
E08000012,Liverpool,2022,29.82289,23.04227,15.8,24.5403
E08000013,St. Helens,2022,34.38126,29.01515,10.8,25.84646
E08000014,Sefton,2022,35.33222,26.78993,7.2,30.85424
E08000015,Wirral,2022,35.73138,24.64435,9.8,28.36441
E08000016,Barnsley,2022,28.84845,32.51097,14.4,29.44049
E08000017,Doncaster,2022,29.656,25.26975,11.2,30.95357
E08000018,Rotherham,2022,37.7611,27.35054,12.8,31.01141
E08000019,Sheffield,2022,24.49144,22.01271,10.9,29.72365
E08000021,Newcastle upon Tyne,2022,29.86422,22.15901,11.0,29.26209
E08000022,North Tyneside,2022,29.82744,26.82201,10.2,30.50524
E08000023,South Tyneside,2022,38.76036,28.06358,13.9,26.79441
E08000024,Sunderland,2022,30.36396,26.20458,12.0,22.13671
E08000025,Birmingham,2022,25.91325,27.85632,12.4,23.24568
E08000026,Coventry,2022,27.74158,24.52579,16.8,26.06795
E08000027,Dudley,2022,32.21438,28.41868,11.2,30.67832
E08000028,Sandwell,2022,35.13287,36.14566,19.2,19.91462
E08000029,Solihull,2022,22.936,21.78539,9.6,31.45616
E08000030,Walsall,2022,28.95744,30.59606,12.5,25.10027
E08000031,Wolverhampton,2022,32.98323,32.93232,13.8,25.02143
E08000032,Bradford,2022,32.93368,28.78472,14.3,26.0696
E08000033,Calderdale,2022,28.17167,23.75485,10.5,28.58905
E08000034,Kirklees,2022,26.89868,26.58244,12.2,26.884
E08000035,Leeds,2022,26.22084,22.17518,11.3,28.2819
E08000036,Wakefield,2022,30.9903,23.57862,11.4,20.446
E08000037,Gateshead,2022,35.80091,32.15351,10.1,23.03239
E09000002,Barking and Dagenham,2022,30.485,38.36813,12.4,21.58541
E09000003,Barnet,2022,18.16782,17.04533,7.6,34.82367
E09000004,Bexley,2022,24.23752,26.57512,12.2,24.12325
E09000005,Brent,2022,19.3895,28.12416,12.6,23.9028
E09000006,Bromley,2022,26.42415,22.65366,5.9,28.79201
E09000007,Camden,2022,17.3226,17.90181,8.3,33.45249
E09000008,Croydon,2022,24.05367,23.68307,12.3,28.71816
E09000009,Ealing,2022,22.18479,24.28542,14.5,28.65903
E09000010,Enfield,2022,24.01958,31.28798,12.3,30.6006
E09000011,Greenwich,2022,23.15219,24.84888,12.3,27.98302
E09000012,Hackney,2022,21.9492,24.39523,13.0,31.82453
E09000013,Hammersmith and Fulham,2022,18.08513,16.88374,7.6,37.3633
E09000014,Haringey,2022,13.9112,21.61356,14.5,39.13395
E09000015,Harrow,2022,16.74589,26.53607,6.9,29.69145
E09000016,Havering,2022,25.74648,25.58033,14.5,22.14805
E09000017,Hillingdon,2022,22.33171,28.87755,7.3,24.88112
E09000018,Hounslow,2022,26.20837,30.44651,14.9,29.1262
E09000019,Islington,2022,17.86715,17.11035,7.1,32.85381
E09000020,Kensington and Chelsea,2022,13.23967,21.46309,10.3,37.7026
E09000021,Kingston upon Thames,2022,15.47317,20.02121,5.6,35.63917
E09000022,Lambeth,2022,19.17333,18.29175,12.2,34.8953
E09000023,Lewisham,2022,23.82882,22.12413,14.0,32.3448
E09000024,Merton,2022,20.93565,24.52826,13.6,28.31933
E09000025,Newham,2022,23.25553,30.93068,9.8,21.03581
E09000026,Redbridge,2022,25.34519,28.85651,10.4,24.87545
E09000027,Richmond upon Thames,2022,20.53995,15.08262,5.8,40.98753
E09000028,Southwark,2022,19.65883,17.8716,10.5,34.30146
E09000029,Sutton,2022,21.12988,17.1108,6.2,29.48504
E09000030,Tower Hamlets,2022,16.01436,24.5508,10.6,27.72186
E09000031,Waltham Forest,2022,22.40788,32.41974,10.8,27.13762
E09000032,Wandsworth,2022,16.33696,13.05916,7.1,35.7646
E09000033,Westminster,2022,16.18017,24.96976,11.2,27.51966
E10000003,Cambridgeshire,2022,23.86302,18.4446,10.3,34.0035
E10000007,Derbyshire,2022,30.14267,21.98166,12.7,31.63225
E10000008,Devon,2022,24.25957,17.50749,12.6,40.74498
E10000011,East Sussex,2022,25.25189,17.91324,10.4,36.58443
E10000012,Essex,2022,29.09585,21.14878,12.1,32.94633
E10000013,Gloucestershire,2022,25.89741,18.53161,10.5,35.32909
E10000014,Hampshire,2022,24.71589,18.98522,9.5,35.4695
E10000015,Hertfordshire,2022,22.70926,19.09855,10.5,33.37805
E10000016,Kent,2022,27.84569,20.44662,10.5,33.28974
E10000017,Lancashire,2022,27.9986,23.55903,12.2,29.25556
E10000018,Leicestershire,2022,26.24627,18.94746,8.5,31.7649
E10000019,Lincolnshire,2022,29.4388,22.48685,14.6,31.2395
E10000020,Norfolk,2022,27.44028,23.37209,12.0,36.05577
E10000024,Nottinghamshire,2022,27.87628,22.42511,11.5,33.39318
E10000025,Oxfordshire,2022,21.2689,18.27371,10.2,36.24777
E10000028,Staffordshire,2022,29.03054,21.29436,8.4,29.26425
E10000029,Suffolk,2022,26.75628,21.07044,12.7,36.99868
E10000030,Surrey,2022,20.38061,17.63807,10.8,33.96956
E10000031,Warwickshire,2022,26.39319,21.40374,12.6,32.83668
E10000032,West Sussex,2022,23.94503,19.11227,11.4,36.48785
E10000034,Worcestershire,2022,27.67285,21.05775,10.4,34.77416
E06000001,Hartlepool,2023,37.90027,30.45787,12.6,25.26827
E06000002,Middlesbrough,2023,35.29542,26.51127,17.5,21.47754
E06000003,Redcar and Cleveland,2023,32.98023,26.25251,12.2,28.62679
E06000004,Stockton-on-Tees,2023,36.43727,22.15985,6.5,25.32278
E06000005,Darlington,2023,33.28734,24.15179,7.3,27.58548
E06000006,Halton,2023,36.03402,23.72862,13.7,23.46177
E06000007,Warrington,2023,29.55935,25.00528,8.2,31.50034
E06000008,Blackburn with Darwen,2023,30.84882,31.62151,15.6,18.86595
E06000009,Blackpool,2023,33.23488,36.5755,19.4,25.19092
E06000010,Kingston upon Hull,2023,36.78443,27.48677,16.6,23.74589
E06000011,East Riding of Yorkshire,2023,30.12736,21.61191,11.5,35.77836
E06000012,North East Lincolnshire,2023,31.77917,26.70465,15.6,26.78992
E06000013,North Lincolnshire,2023,35.06342,22.69807,16.0,25.49277
E06000014,York,2023,25.2245,10.80911,7.6,38.16363
E06000015,Derby,2023,33.04739,27.74797,9.8,24.68276
E06000016,Leicester,2023,26.57029,30.82596,13.7,21.4613
E06000017,Rutland,2023,20.03846,16.36238,4.3,38.48823
E06000018,Nottingham,2023,27.40668,23.99745,17.2,26.33821
E06000019,Herefordshire,2023,26.75641,15.8409,9.5,46.71241
E06000020,Telford and Wrekin,2023,36.2572,23.61555,13.6,31.04229
E06000021,Stoke-on-Trent,2023,34.70438,28.14943,12.2,22.19129
E06000022,Bath and North East Somerset,2023,17.91289,14.85539,10.3,42.38905
E06000023,Bristol,2023,20.33342,17.01255,11.9,36.21254
E06000024,North Somerset,2023,20.38329,14.67056,8.4,40.642
E06000025,South Gloucestershire,2023,25.74345,19.08027,8.2,30.54463
E06000026,Plymouth,2023,32.58212,20.18544,15.6,30.759
E06000027,Torbay,2023,25.9042,21.78543,14.5,32.20736
E06000030,Swindon,2023,33.73332,24.73683,9.0,28.05384
E06000031,Peterborough,2023,32.19148,24.31028,12.1,25.33179
E06000032,Luton,2023,30.51367,34.27308,13.8,19.10129
E06000033,Southend-on-Sea,2023,32.90607,18.75487,9.8,30.62156
E06000034,Thurrock,2023,34.59805,31.76146,13.7,25.56411
E06000035,Medway,2023,33.3141,22.63992,12.0,29.06054
E06000036,Bracknell Forest,2023,29.97039,19.53758,13.0,28.3313
E06000037,West Berkshire,2023,21.98622,11.8189,9.1,36.91912
E06000038,Reading,2023,25.91528,17.16454,11.1,28.65466
E06000039,Slough,2023,30.65703,31.01331,7.8,18.83942
E06000040,Windsor and Maidenhead,2023,19.25242,17.20285,8.5,32.50868
E06000041,Wokingham,2023,30.50635,18.13474,5.8,38.07577
E06000042,Milton Keynes,2023,28.69101,21.14737,7.1,29.23586
E06000043,Brighton and Hove,2023,20.11886,12.38698,14.4,38.16942
E06000044,Portsmouth,2023,31.43499,22.75914,9.5,30.84788
E06000045,Southampton,2023,24.89549,21.7673,13.4,27.79892
E06000046,Isle of Wight,2023,29.89153,17.70121,9.4,37.1916
E06000047,County Durham,2023,34.38844,25.68944,11.0,27.15875
E06000049,Cheshire East,2023,25.47645,17.9152,6.4,35.20962
E06000050,Cheshire West and Chester,2023,28.16109,22.46554,9.8,31.00118
E06000051,Shropshire,2023,28.63887,17.46328,10.7,37.08428
E06000052,Cornwall,2023,24.03112,17.32185,11.9,40.93545
E06000054,Wiltshire,2023,27.00042,17.92868,9.9,41.38646
E06000055,Bedford,2023,26.16601,23.67567,12.8,29.13015
E06000056,Central Bedfordshire,2023,29.45122,18.24919,9.9,33.44472
E06000057,Northumberland,2023,30.65887,18.40214,7.7,35.37098
E06000058,"Bournemouth, Christchurch and Poole",2023,24.266,19.69164,9.5,36.29465
E06000059,Dorset,2023,24.34212,21.99639,10.7,41.2423
E06000060,Buckinghamshire UA,2023,19.84486,16.49224,10.5,36.53695
E06000061,North Northamptonshire,2023,30.93819,21.7074,13.9,29.42923
E06000062,West Northamptonshire,2023,24.59245,22.43307,13.0,29.51776
E08000001,Bolton,2023,30.88659,28.51784,14.4,23.48117
E08000002,Bury,2023,25.93807,21.82572,9.8,27.83961
E08000003,Manchester,2023,23.51421,26.40626,11.1,27.6499
E08000004,Oldham,2023,32.35253,31.55355,11.3,24.53268
E08000005,Rochdale,2023,31.30275,28.73947,12.3,22.41426
E08000006,Salford,2023,27.60186,24.95305,14.5,21.06068
E08000007,Stockport,2023,26.02849,20.01012,9.9,30.30605
E08000008,Tameside,2023,34.54813,28.92857,15.0,27.46313
E08000009,Trafford,2023,16.86129,23.59982,8.9,30.73226
E08000010,Wigan,2023,30.02909,22.67784,10.6,25.27636
E08000011,Knowsley,2023,32.89678,29.31199,9.2,24.45772
E08000012,Liverpool,2023,30.08939,23.34145,11.8,25.42455
E08000013,St. Helens,2023,33.95158,25.30098,11.2,28.65644
E08000014,Sefton,2023,26.61728,24.99641,9.1,27.19393
E08000015,Wirral,2023,31.63707,23.51675,10.2,28.53981
E08000016,Barnsley,2023,34.89426,24.2556,14.1,28.13546
E08000017,Doncaster,2023,37.545,26.79306,16.8,25.03294
E08000018,Rotherham,2023,36.01735,29.21188,13.6,22.05234
E08000019,Sheffield,2023,28.34572,20.718,9.7,32.62469
E08000021,Newcastle upon Tyne,2023,28.23664,22.669,10.0,27.92618
E08000022,North Tyneside,2023,25.59187,26.54346,10.3,34.32641
E08000023,South Tyneside,2023,31.06254,28.4722,11.9,20.50009
E08000024,Sunderland,2023,32.81298,27.84125,11.6,23.17161
E08000025,Birmingham,2023,29.26302,28.63094,13.6,23.25086
E08000026,Coventry,2023,27.08288,24.0899,10.0,25.52242
E08000027,Dudley,2023,30.95524,28.10597,9.1,23.3061
E08000028,Sandwell,2023,31.93558,35.39104,16.7,21.51643
E08000029,Solihull,2023,25.54687,22.85014,8.1,28.82642
E08000030,Walsall,2023,36.19246,33.36898,13.9,21.33882
E08000031,Wolverhampton,2023,31.10595,30.90123,13.8,27.65615
E08000032,Bradford,2023,31.20101,30.27456,13.5,30.22308
E08000033,Calderdale,2023,26.86468,18.21251,8.5,31.57785
E08000034,Kirklees,2023,27.33297,23.12625,11.7,30.7622
E08000035,Leeds,2023,27.23477,22.61026,10.4,27.82697
E08000036,Wakefield,2023,35.11496,27.91257,12.1,23.09715
E08000037,Gateshead,2023,37.16019,27.34244,8.5,31.70139
E09000002,Barking and Dagenham,2023,31.01241,32.3539,15.8,19.09254
E09000003,Barnet,2023,20.63714,22.48221,8.3,30.90731
E09000004,Bexley,2023,25.22006,29.68921,7.1,23.65236
E09000005,Brent,2023,22.18674,30.46885,7.6,22.72947
E09000006,Bromley,2023,21.38167,15.87747,13.2,35.21949
E09000007,Camden,2023,11.02279,14.9463,14.5,36.98652
E09000008,Croydon,2023,24.4116,24.40052,16.1,27.54621
E09000009,Ealing,2023,21.40083,21.16918,21.1,27.34031
E09000010,Enfield,2023,24.78085,28.84979,13.3,30.96909
E09000011,Greenwich,2023,22.94581,25.94765,9.1,26.25068
E09000012,Hackney,2023,22.91016,15.26622,7.5,31.63928
E09000013,Hammersmith and Fulham,2023,12.1032,16.71834,10.9,36.54073
E09000014,Haringey,2023,16.54783,17.05542,13.1,30.19547
E09000015,Harrow,2023,20.84054,27.57541,15.1,25.17499
E09000016,Havering,2023,30.3769,31.47507,10.2,25.46808
E09000017,Hillingdon,2023,22.78833,30.86964,11.1,25.80452
E09000018,Hounslow,2023,19.39235,28.8274,12.6,27.9701
E09000019,Islington,2023,12.95517,12.14312,9.2,35.95771
E09000020,Kensington and Chelsea,2023,14.30473,22.09363,10.0,38.209
E09000021,Kingston upon Thames,2023,15.83989,16.08504,7.0,30.84793
E09000022,Lambeth,2023,18.43775,15.98174,10.1,34.53249
E09000023,Lewisham,2023,20.06324,19.17869,9.8,31.96489
E09000024,Merton,2023,19.59335,20.33819,13.8,35.58632
E09000025,Newham,2023,20.36926,29.83679,12.2,21.19628
E09000026,Redbridge,2023,20.71024,27.42988,6.4,25.0663
E09000027,Richmond upon Thames,2023,14.66576,15.57588,4.9,35.91702
E09000028,Southwark,2023,21.42826,18.1897,12.8,28.86
E09000029,Sutton,2023,26.28051,22.60232,6.4,29.49024
E09000030,Tower Hamlets,2023,21.74836,25.12849,11.7,27.17177
E09000031,Waltham Forest,2023,24.53935,22.54416,6.2,34.35201
E09000032,Wandsworth,2023,15.31706,16.44434,7.3,35.31929
E09000033,Westminster,2023,15.16652,23.13277,12.8,31.72954
E10000003,Cambridgeshire,2023,24.28604,17.74121,10.1,34.0459
E10000007,Derbyshire,2023,30.77357,20.66907,11.2,32.76178
E10000008,Devon,2023,23.31797,19.24966,10.1,39.41402
E10000011,East Sussex,2023,24.81896,20.60983,10.7,39.14889
E10000012,Essex,2023,28.51356,20.34374,11.4,31.17556
E10000013,Gloucestershire,2023,24.86939,17.80077,9.8,38.66465
E10000014,Hampshire,2023,27.01391,18.74456,8.7,35.97064
E10000015,Hertfordshire,2023,24.45211,17.67683,9.1,32.80808
E10000016,Kent,2023,25.64406,22.06656,10.7,32.46745
E10000017,Lancashire,2023,28.52787,22.34015,11.4,29.28527
E10000018,Leicestershire,2023,27.34195,20.82536,8.8,32.05577
E10000019,Lincolnshire,2023,31.92801,24.39165,13.4,30.7339
E10000020,Norfolk,2023,29.43485,20.97827,11.4,34.1915
E10000024,Nottinghamshire,2023,29.88058,20.02853,9.3,32.03454
E10000025,Oxfordshire,2023,20.83289,15.66296,9.6,38.60966
E10000028,Staffordshire,2023,29.24874,22.01513,6.8,29.41824
E10000029,Suffolk,2023,28.53195,18.88526,9.9,35.91523
E10000030,Surrey,2023,18.99686,16.66222,6.8,35.84781
E10000031,Warwickshire,2023,26.29321,21.80363,10.4,33.00138
E10000032,West Sussex,2023,26.76075,18.81126,12.7,35.11597
E10000034,Worcestershire,2023,29.35647,20.17889,11.2,35.07992
